CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,05/17/2024 05:25:00 PM,24-023097,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,33X,9113 D STREET,Oakland,CA,POINT (-122.179149008 37.746503017)
HOMICIDE,03/23/2024 05:48:00 AM,24-014573,MURDER:FIRST DEGREE,19X,2200 E 12TH ST,Oakland,CA,POINT (-122.238123995 37.783816987)
,05/07/2024 09:00:00 PM,24-022700,VEHICLE THEFT - AUTO,22Y,2925 MORGAN AV,Oakland,CA,POINT (-122.201948037 37.801926005)
PETTY THEFT,03/26/2024 11:11:00 AM,24-015407,THEFT,35X,9107 CASTLEWOOD ST,Oakland,CA,POINT (-122.153953007 37.757448986)
BURG - RESIDENTIAL,05/20/2024 04:29:00 PM,24-024934,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,35X,8923 MACARTHUR BLVD,Oakland,CA,POINT (-122.161734012 37.755929012)
STOLEN VEHICLE,05/29/2024 06:00:00 PM,24-026814,VEHICLE THEFT - AUTO,21X,2524 GRANDE VISTA AV,Oakland,CA,POINT (-122.226799038 37.791165988)
,04/30/2024 06:30:00 PM,24-908549,VANDALISM,14X,445 BELLEVUE AVE,Oakland,CA,POINT (-122.252986032 37.809124006)
CURFEW & LOITERING,03/17/2024 11:00:00 AM,24-013483,TRESPASSING,31Y,679 98TH AV,Oakland,CA,POINT (-122.182894546 37.736883552)
,04/30/2024 12:17:00 PM,24-021255,THREAT CRIME:INT:TERRORIZE,32Y,10770 MACARTHUR BLVD,Oakland,CA,POINT (-122.150779807 37.741923844)
,06/08/2024 04:12:00 AM,24-028290,BURGLARY-FORCIBLE ENTRY,12X,400 40TH ST,Oakland,CA,POINT (-122.259898001 37.829015016)
,04/01/2024 01:05:00 AM,24-906148,GRAND THEFT,17X,1111 E 19TH ST,Oakland,CA,POINT (-122.244134993 37.794352997)
,04/08/2024 09:31:00 PM,24-017294,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,6619 EALAWN ST ST,Oakland,CA,POINT (-122.27248 37.804828)
FELONY ASSAULT,03/26/2024 03:20:00 PM,24-015165,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32X,9933 99TH AV CT,Oakland,CA,POINT (-122.170545682 37.742806678)
STOLEN VEHICLE,04/23/2024 09:00:00 AM,24-020864,VEHICLE THEFT - AUTO,21X,2427 E 21ST ST,Oakland,CA,POINT (-122.229231198 37.787140047)
MISDEMEANOR ASSAULT,03/15/2024 08:27:00 AM,24-013136,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,33X,1018 90TH AV,Oakland,CA,POINT (-122.180159028 37.747038998)
,05/14/2024 11:00:00 PM,24-023928,VEHICLE THEFT - AUTO,25X,3129 PLEITNER AVE,Oakland,CA,POINT (-122.211957035 37.793784997)
,05/12/2024 12:55:00 PM,24-023393,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1541 E 12TH ST,Oakland,CA,POINT (-122.246714021 37.787978015)
,04/29/2024 12:30:00 PM,24-908552,ATTEMPT VEHICLE THEFT-AUTO,13X,5718 MENDOCINO AVE,Oakland,CA,POINT (-122.244981985 37.842771019)
FELONY ASSAULT,04/09/2024 10:14:00 PM,24-017608,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,18X,1800 19TH AV,Oakland,CA,POINT (-122.238063254 37.789548679)
OTHER,03/30/2024 03:39:00 PM,24-015945,VOL PROTECTIVE ORDER:MNR,27Y,5826 AVENAL AV,Oakland,CA,POINT (-122.192382022 37.770645999)
MISDEMEANOR ASSAULT,03/24/2024 09:35:00 PM,24-014821,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,22X,LINCOLN AV & MACARTHUR BLVD,Oakland,CA,POINT (-122.214067011 37.799821015)
,03/25/2024 03:00:00 PM,24-906291,THEFT,12X,4701 TELEGRAPH AVE,Oakland,CA,POINT (-122.263333994 37.834501014)
GRAND THEFT,04/10/2024 04:35:00 AM,24-906458,GRAND THEFT,32X,1631 100TH AV,Oakland,CA,POINT (-122.166314974 37.743735019)
,05/19/2024 10:50:00 PM,24-907858,BURGLARY-AUTO,,22ND,Oakland,CA,POINT (-122.240965561 37.781725662)
THREATS,03/24/2024 04:50:00 PM,24-014785,EXHIBIT FIREARM,22Y,3216 DELAWARE ST,Oakland,CA,POINT (-122.204329586 37.794098352)
BURG - AUTO,04/04/2024 12:09:00 PM,24-016626,BURGLARY-AUTO,12X,5100 SHATTUCK AV,Oakland,CA,POINT (-122.264003753 37.837110842)
WEAPONS,04/04/2024 03:50:00 PM,24-016646,CARRY CONCEALED WEAPON IN VEHICLE,07X,2901 SAN PABLO AV,Oakland,CA,POINT (-122.276512022 37.819673008)
,05/26/2024 02:00:00 AM,24-025864,VEHICLE THEFT - AUTO,26X,12TH &HIGH ST ST,Oakland,CA,POINT (-122.216094007 37.771412985)
,04/24/2024 05:30:00 PM,24-020352,VEHICLE THEFT - AUTO,07X,2520 LINDEN ST,Oakland,CA,POINT (-122.280591997 37.817826014)
STOLEN VEHICLE,04/11/2024 10:59:00 PM,24-017895,SC STOLEN VEHICLE - AUTO,04X,17TH &HARRISON ST,Oakland,CA,POINT (-122.266147967 37.805258985)
FELONY ASSAULT,04/21/2024 01:54:00 PM,24-019642,ASSAULT WITH FIREARM ON PERSON,31Y,580 HEGENBERGER RD,Oakland,CA,POINT (-122.195605031 37.745296987)
,04/17/2024 10:00:00 PM,24-020177,PETTY THEFT:$50-,14Y,4001 GRAND AVE,Oakland,CA,POINT (-122.245180971 37.819048012)
,03/17/2024 09:45:00 AM,24-905521,BURGLARY-AUTO,19X,1400 INTERNATIONAL BOULEVARD,Oakland,CA,POINT (-122.245488 37.789481016)
FELONY ASSAULT,04/14/2024 08:36:00 PM,24-018365,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,32X,10440 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.166546985 37.739782994)
,03/20/2024 08:30:00 AM,24-904951,BURGLARY-AUTO,19X,1211 EMBARCADERO,Oakland,CA,POINT (-122.250132999 37.787164006)
VANDALISM,03/20/2024 08:30:00 PM,24-014204,"VANDALISM [$400 TO $5,000]",03Y,900 CLAY ST,Oakland,CA,POINT (-122.275593187 37.801949638)
,04/20/2024 12:00:00 PM,24-019478,BURGLARY-FORCIBLE ENTRY,23X,1630 35TH AV,Oakland,CA,POINT (-122.220538008 37.779433)
,05/06/2024 10:00:00 PM,24-022585,EXHIBIT FIREARM,26Y,1310 76TH AV,Oakland,CA,POINT (-122.185387994 37.757500996)
,04/24/2024 12:57:00 PM,24-020196,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,17Y,2731 13TH AVE,Oakland,CA,POINT (-122.235831964 37.798990997)
,03/27/2024 01:00:00 AM,24-905712,ATTEMPT VEHICLE THEFT-AUTO,16Y,3763 WOODRUFF AVE,Oakland,CA,POINT (-122.222382027 37.802864987)
BURG - AUTO,04/26/2024 03:30:00 AM,24-907044,BURGLARY-AUTO,77X,4690 TOMPKINS AVE,Oakland,CA,POINT (-122.184995973 37.78718802)
,04/04/2024 10:31:00 PM,24-016694,SC UNEXPLAINED DEATH,19X,1120 11TH AV,Oakland,CA,POINT (-122.250261997 37.790117999)
,04/20/2024 05:00:00 AM,24-906848,BURGLARY-AUTO,22X,4015 COOLIDGE AVE,Oakland,CA,POINT (-122.203527019 37.80397999)
ROBBERY,03/14/2024 10:12:00 PM,24-013089,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31Y,566 HEGENBERGER RD,Oakland,CA,POINT (-122.195509981 37.744888998)
MISDEMEANOR ASSAULT,04/04/2024 08:45:00 PM,24-016687,ASSAULT,15X,338 E 18TH ST,Oakland,CA,POINT (-122.251202027 37.799486997)
CURFEW & LOITERING,06/05/2024 02:50:00 AM,24-027939,TRESPASS:OCCUPY PROPERTY W/O CONSENT,09X,3600 BROADWAY,Oakland,CA,POINT (-122.258236959 37.823493983)
STOLEN VEHICLE,04/11/2024 11:00:00 AM,24-017797,VEHICLE THEFT - AUTO,35X,8300 DOWLING ST,Oakland,CA,POINT (-122.167857287 37.759831966)
WEAPONS,04/02/2024 05:33:00 PM,24-016356,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,31X,449 HEGENBERGER RD,Oakland,CA,POINT (-122.197507975 37.736640995)
,04/21/2024 05:30:00 PM,24-020846,THEFT,32X,720 OAK ST,Oakland,CA,POINT (-122.265640225 37.79651241)
,05/04/2024 10:45:00 AM,24-022037,BURGLARY-FORCIBLE ENTRY,34X,9608 WALNUT ST,Oakland,CA,POINT (-122.169047977 37.746671996)
WEAPONS,04/02/2024 08:09:00 PM,24-016379,MISD-CARRY LOADED HANDGUN: NOT REGISTERED OWNER,19X,1544 13TH AV,Oakland,CA,POINT (-122.24542698 37.790893995)
ARSON,03/27/2024 06:30:00 AM,24-015382,MAL SET/ETC FIRE PROP/ETC,30X,7700 KRAUSE AV,Oakland,CA,POINT (-122.176081524 37.76268697)
,05/25/2024 08:04:00 PM,24-025813,DUI ALCOHOL/DRUGS,06X,800 BLK OF 30TH ST,Oakland,CA,POINT (-122.276740783 37.82098082)
,04/29/2024 03:57:00 AM,24-020970,DUI ALCOHOL/DRUGS,04X,1700 BLOCK OF MARTIN LUTHER KING JR WAY,Oakland,CA,POINT (-122.274322063 37.808684878)
GRAND THEFT,04/01/2024 01:45:00 PM,24-016234,TRESPASS:OCCUPY PROPERTY W/O CONSENT,35X,9123 LAWLOR ST,Oakland,CA,POINT (-122.159222039 37.755244001)
STOLEN VEHICLE,04/30/2024 08:30:00 PM,24-021326,VEHICLE THEFT - AUTO,01X,98 BROADWAY,Oakland,CA,POINT (-122.276723072 37.795213013)
,05/15/2024 07:00:00 PM,24-026338,VEHICLE THEFT - AUTO,18Y,2100 28TH ST,Oakland,CA,POINT (-122.229106561 37.79553109)
,03/22/2024 05:48:00 AM,24-906164,VANDALISM,13Z,8685 SKYLINE BOULEVARD,Oakland,CA,POINT (-122.187961993 37.83087802)
,05/26/2024 04:55:00 PM,24-026003,CONTEMPT OF COURT:DISOBEY COURT ORDER/PROCESS (AMENDED),07X,3417 HAVEN ST,Oakland,CA,POINT (-122.283421979 37.826447011)
,05/13/2024 10:00:00 AM,24-023712,SC TRESPASS,24X,2533 HARRINGTON AV,Oakland,CA,POINT (-122.210279984 37.786454017)
,04/14/2024 03:07:00 AM,24-907607,VANDALISM,23X,1439 38TH AVE,Oakland,CA,POINT (-122.219570988 37.775647984)
,05/23/2024 12:48:00 AM,24-025392,BURGLARY-AUTO,20X,1400 BLK OF 28TH AVE,Oakland,CA,POINT (-122.229475584 37.780278094)
